EntityName,Country,CompanyNumber,DateofInc,PreviousNames,PlaceofInc,RegisteredAddress,Directors,Officers,IssuedCapital,Shareholders,PrincipalActivity,Active
Sims Recycling Solutions Ireland Limited,Ireland,560838,4/22/2015,N/A,Republic of Ireland,"Block B, The Crescent Building, Northwood Santry, Dublin 9
","Stephen Skurnac, Christopher Fox",,,Sims Group UK Holdings Limited,E-Waste Recycling,Yes
Sims Lifecycle Services BV,Netherlands,34104969,7/24/1998,Device ICT Recycling BV,The Netherlands,"Hastelweg 251, 5652CV, Eindhoven, The Netherlands","Stephen Skurnac, Christopher Fox",,"£18,152",Sims Group UK Limited,E-Waste Recycling,Yes
Sims Lifecycle Services Global Holdings BV,Netherlands,,,N/A,The Netherlands,"Hastelweg 251, 5652CV, Eindhoven, The Netherlands",Josef Malik,,"100 shares of €1,00 each",Sims Group UK Limited,Holding Company,Yes
Sims Recycling Solutions Coöperatief B.A.,Netherlands,17256982,7/1/2009,N/A,The Netherlands,"Hastelweg 251, 5652CV, Eindhoven, The Netherlands","René Kik, Hank Neutkens",,,Sims Group UK Limited,Dissolved,No
Mirec BV,Netherlands,17073024,8/28/1991,N/A,The Netherlands,"Hastelweg 251, 5652CV, Eindhoven, The Netherlands","Stephen Skurnac, Jan Visser",,"€908,000 divided into 908 ordinary shares of €1,000 each",Sims Group UK Limited,Sold Mar. 2020,No
Sims Lifecycle Services AB,Sweden,559338-3861,9/29/2002,Goldcup 28817 AB,Sweden,"Advokatbyr AB, Box 14055, 104 40 Stockholm, Sweden","Josef Malik, Andrew Murphy (deputy director)",,"SEK 25,000",Sims Group UK Holdings Limited,E-Waste Recycling,Yes
Sims Recycling Solutions AB,Sweden,556606-4381,3/21/2001,"Mirec AB, Eure AB",Sweden,Karosserigatan 6 641 51 Katrineholm Sweden,"Schede, Häkan Henry; Skurnac, Stephen Michael; Sinke, deVlieg, Martine",,"SEK 101,764.06 divided into 1,001 ordinary shares of SEK 101,662.39 each",Sims Group UK Limited,Sold Mar. 2020,No
Sims Recycling Solutions NV,Belgium,0466.198.431,5/27/1999,"Mirec NV, Mirec BVBA",Belgium,"Europark Noord 32 9100 Sint-Niklaas ,Belgium","Skurnac, Stephen Michael; Visser, Jan",,"€62,000 divided into 100 authorised (maatschappelijke) shares",Mirec BV – 99 shares / Sims Group UK Limited – 1 share,Sold Mar. 2020,No
"CIM Trucking, Inc.",United States,36-4035047,8/15/1995,N/A,Illinois,"Illinois Corporation Service Company, 801 Aldai Stevenson Drive, Springfield, IL 62703","George Malamis, Jim Clark",Scott Miller (Secretary),10 shares,"Metal Management Midwest, Inc.",Transportation Company,Yes
Dover Barge Company,United States,22-1845459,7/28/1967,N/A,Delaware,"c/o Corporation Service Company, 251 Little Falls Drive, Wilmington, DE 19808","Michael Henderson, Jr.; Jim Clark; Scott Miller",Scott Miller (Secretary),200 ordinary shares of US$100 each fully paid,Sims Group USA Holdings Corporation,Dormant,No
Metal Dynamics Detroit LLC,United States,20-8827974,4/12/2007,N/A,Delaware,"c/o Corporation Service Company, 251 Little Falls Drive, Wilmington, DE 19808",Member Managed,Scott Miller (Secretary),,"Metal Management Ohio, Inc.",Dormant,No
SMM Gulf Coast LLC,United States,20-8828030,4/12/2007,TH Properties LLC; Metal Dynamics Indianapolis LLC,Delaware,"c/o Corporation Service Company, 251 Little Falls Drive, Wilmington, DE 19808",Member Managed,Scott Miller (Secretary),,SMM South Corporation,Dormant,No
SMM South Corporation,United States,36-4218674,2/20/1998,"Metal Management Alabama, Inc.; Kimerling Acquisition Corp.",Delaware,"c/o Corporation Service Company, 251 Little Falls Drive, Wilmington, DE 19808","Lynn Jacobs, Jim Clark",Scott Miller (Secretary),1000 shares of $.01 par value,Sims Southwest Corporation,Dormant,No
SMM New England Corporaiton,United States,06-1516622,5/1/1998,"IMS Acquisition, Inc.; Michael Schiavone & Sons, Inc.; Metal Management Connecticut, Inc.
",Delaware,"c/o Corporation Service Company, 251 Little Falls Drive, Wilmington, DE 19808","Michael Henderson, Jr.; Jim Clark",Scott Miller (Secretary),1000 shares of $.01 par value,"Metal Management Northeast, Inc.",Scrap metal recycling,Yes
"Metal Management, Inc.",United States,94-2835068,6/5/1986,General Parametrics Corporation,Delaware,"c/o Corporation Service Company, 251 Little Falls Drive, Wilmington, DE 19808","John Glyde, Jim Clark",Scott Miller (Secretary),1 share at $.01 par value,Sims Metal Management USA GP,Management Company,Yes
"Metal Management Indiana, Inc.",United States,36-3197180,3/23/1981,"American Scrap Processing, Inc.",Illinois,"Illinois Corporation Service Company, 801 Aldai Stevenson Drive, Springfield, IL 62703","George Malamis, Jim Clark",Scott Miller (Secretary),250 shares,"Metal Management Midwest, Inc.",Scrap metal recycling,Yes
"Metal Management Mephis, L.L.C.",United States,62-1600547,2/15/1995,"PerlCo, L.L.C.",Tennessee,"Corporation Service Company, 2908 Poston Avenue, Nashville, TN 37203",Member Managed,Scott Miller (Secretary),,"Metal Management Midwest, Inc.",Scrap metal recycling,Yes
"Metal Management Midwest, Inc.",United States,36-2582686,1/30/1965,"Cozzi Iron & Metal, Inc.",Illinois,"Illinois Corporation Service Company, 801 Aldai Stevenson Drive, Springfield, IL 62703","George Malamis, Jim Clark",Scott Miller (Secretary),109 shares,"Metal Management, Inc.",Scrap metal recycling,Yes
"Metal Management Northeast, Inc.",United States,22-1449923,2/25/1948,Naporano Iron & Metal Co.,New Jersey,"Corporation Service Company, 830 Bear Tavern Road, West Trenton, NJ 08628","Michael Henderson, Jr.; Jim Clark",Scott Miller (Secretary),400 shares,"Metal Management, Inc.",Holding Company,Yes
"Metal Management Ohio, Inc.",United States,34-0901723,1/27/1984,"George Isaac Company, The Isaac Corporation",Ohio,"CSC – Lawyers Incorporating Service (Corporation Service Company), 50 West Broad Street, Suite 1800, Columbus, OH 73215","George Malamis, Jim Clark",Scott Miller (Secretary),24767.25 shares,"Metal Management, Inc.",Scrap metal recycling,Yes
"Sims Aluminum, Inc.",United States,36-4235943,7/1/1998,"Metal Management Pittsburgh, Inc.; Nicroloy Acquisition Corp.",Delaware,"c/o Corporation Service Company, 251 Little Falls Drive, Wilmington, DE 19808","Graeme Cameron, Gabe Hudock, John Glyde, Tom Adamek",Scott Miller (Secretary),100 shares of $.01 par value,SMM - North America Trade Corporation,Scrap metal recycling,Yes
"Sims ARG, Inc.",United States,36-4325790,10/15/1999,"Naporano Iron & Metal, Inc.; Metal Management Services, Inc.
",Delaware,"c/o Corporation Service Company, 251 Little Falls Drive, Wilmington, DE 19808","Michael Henderson, Jr.; Joe Payesko",Scott Miller (Secretary),100 shares of $.01 par value,"Metal Management, Inc.",Holding Company,Yes
"New York Recycling Ventures, Inc.",United States,20-5968735,12/4/2006,N/A,Delaware,"c/o Corporation Service Company, 251 Little Falls Drive, Wilmington, DE 19808","Michael Henderson, Jr.; Jim Clark",Scott Miller (Secretary),100 shares of $.01 par value,"Metal Management Northeast, Inc.",Merged with Simsmetal East LLC in Jul 2019,No
"Port Albany Ventures, LLC",United States,26-0107806,1/5/2006,N/A,Delaware,"c/o Corporation Service Company, 251 Little Falls Drive, Wilmington, DE 19808","Michael Henderson, Jr.; Jim Clark",Scott Miller (Secretary),,Simsmetal East LLC,Merged with Simsmetal East LLC in Jul 2019,No
Sims Southwest Corporation,United States,36-4169987,12/16/2005,"Proler Southwest Co., Proler Acquisition Co., Proler Southwest, Inc., Proler Southwest LP",Texas,"Corporation Service Company d/b/a CSC – Lawyers Incorporating Service Company, 211 E 7th Street, Suite 620, Austin, TX 78701-3218","Lynn Jacobs, Jim Clark",Scott Miller (Secretary),"1,000 shares of $.01 par value","Metal Management, Inc.",Scrap metal recycling,Yes
Schiabo Larovo Corporation,United States,20-8474538,2/14/2007,"Schiabo Larovo Company, Schiabo Larovo Company, LLC",Delaware,"c/o Corporation Service Company, 251 Little Falls Drive, Wilmington, DE 19808","Michael Henderson, Jr.; Jim Clark",Scott Miller (Secretary),100 shares of $.01 par value,Simsmetal East LLC,Scrap metal recycling,No
Sims Group Global Trade Corporation,United States,20-8474694,2/14/2007,"Hugo Neu Schnitzer Global Trade LLC, Sims Hugo Neu Global Trade LLC, Sims Hugo Neu Global Trade Corporation",Delaware,"c/o Corporation Service Company, 251 Little Falls Drive, Wilmington, DE 19808","Joseph Payesko, Jim Clark",Scott Miller (Secretary),100 shares of $.01 par value,Sims Group USA Holdings Corporation,Secondary metal trading,Yes
Sims Group USA Corporation,United States,94-3053218,11/2/1987,Simsmetal USA Corporation,Delaware,"c/o Corporation Service Company, 251 Little Falls Drive, Wilmington, DE 19808","Vistasp Patel, Jim Clark",Scott Miller (Secretary),"37,959 ordinary shares of US$0.01 each fully paid",Sims Group USA Holdings Corporation,Scrap metal recycling,Yes
Sims Group USA Holdings Corporation,United States,20-3622384,10/5/2005,Sims Hugo Neu Corporation,Delaware,"c/o Corporation Service Company, 251 Little Falls Drive, Wilmington, DE 19808","John Glyde, Jim Clark",Scott Miller (Secretary),100 shares of US$1.00 par value,Sims Metal Management USA GP,Management Company,Yes
Sims Municipal Recycing of New York LLC,United States,26-1910446,12/5/2007,N/A,Delaware,"c/o Corporation Service Company, 251 Little Falls Drive, Wilmington, DE 19808",Member Managed,Scott Miller (Secretary),,Simsmetal East LLC,Sold 50.46 percent to Closed Loop Partners Jan. 2022,Yes
Sims Recycling Solutions Holdings Inc. ,United States,36-4002401,1/19/1995,"Sims Recycling Solutions, Inc., United Recycling Industries, Inc.",Illinois,"Illinois Corporation Service Company, 801 Aldai Stevenson Drive, Springfield, IL 62703","Ingrid Sinclair, Angela Catt","Angela Catt (Secretary), Brent Stewart (Treasurer), Cindy Tait (Assistant Treasurer)",2000 shares at US$5.00 par value,Sims Group UK Limited,Holding Company,Yes
